Basin;Criteria;Indicator;Target;Unit;Response;Conf_Target;Status;Conf_Status;Weight
Åland Sea;C2;Secchi depth (June-Sept);6.9;m;-;H;5.4;L;0.5
Bothnian Sea;C1;DIN (Dec-Feb);2.8;µM;+;M;3.67;H;0.5
Bothnian Sea;C1;DIP (Dec-Feb);0.19;µM;+;M;0.261;H;0.5
Bothnian Sea;C2;Chlorophyll a (June-Sept);1.5;µg/l;+;M;2.4925;L;0.6
Bothnian Sea;C2;Secchi depth (June-Sept);6.8;m;-;H;6.5;M;0.399999976
Quark;C1;DIN (Dec-Feb);3.7;µM;+;M;5.279;H;0.5
Quark;C1;DIP (Dec-Feb);0.1;µM;+;M;0.089;H;0.5
Quark;C2;Chlorophyll a (June-Sept);2;µg/l;+;M;2.34;L;0.7
Quark;C2;Secchi depth (June-Sept);6;m;-;H;5.9;L;0.300000012
Bothnian Bay;C1;DIN (Dec-Feb);5.2;µM;+;M;6.825;H;0.333
Bothnian Bay;C1;DIP (Dec-Feb);0.07;µM;+;M;0.045;H;0.666999996
Bothnian Bay;C2;Chlorophyll a (June-Sept);2;µg/l;+;M;2.345666667;L;0.8
Bothnian Bay;C2;Secchi depth (June-Sept);5.8;m;-;H;5.8;M;0.200000048
